funder,tax_year,schedule,recipient,recipient_ein,city,state,amount,amount_noncash,noncash_desc,purpose,source
The Ahmanson Foundation,2024,990-PF-XV,TEACH FOR AMERICA INC,,LOS ANGELES,CA,500000,,,"TOWARD THE LOS ANGELES CORPS PROGRAM, 2024-25",https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,THE CHILDRENS CLINIC,,LONG BEACH,CA,500000,,,TOWARD ADDITIONAL SUPPORT FOR CONSTRUCTION OF THE TCC FAMILY HEALTH AND WELLNESS CENTER,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,WESTMONT COLLEGE,,SANTA BARBARA,CA,500000,,,TOWARD RENOVATION OF THE DINING COMMONS,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,LATINO THEATER COMPANY,,LOS ANGELES,CA,400400,,,"TOWARD PHASE II FACILITY UPGRADES, SEATING, AND EQUIPMENT IN THEATER 2",https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,RIDE ON LA,,CHATSWORTH,CA,400000,,,TOWARD A ROOF COVER FOR THE CHATSWORTH RIDING ARENA,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,SOUTHERN CALIFORNIA GRANTMAKERS,,LOS ANGELES,CA,350000,,,TOWARD NSI PROGRAMS,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,JUNIPERO SERRA HIGH SCHOOL A CORP,,GARDENA,CA,337000,,,FOR NEW WI-FI INFRASTRUCTURE,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,JAPANESE AMERICAN CUL & COMM CTR,,LOS ANGELES,CA,313000,,,FOR A NEW HVAC SYSTEM,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,SANTA CATALINA ISLAND CONSERVANCY,,AVALON,CA,311300,,,FOR REIMBURSEMENT OF A BULLDOZER,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,PUBLIC COUNSEL,,LOS ANGELES,CA,277000,,,FOR UPGRADED TECHNOLOGY,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,LOS ANGELES CONSERVATION CORPS,,LOS ANGELES,CA,276000,,,FOR ROOF REPLACEMENT AND REMEDIATION OF WATER DAMAGE AT THE JOHN VAN DE KAMP CENTER,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,LA SALLE HIGH SCHOOL OF PASADENA,,PASADENA,CA,265000,,,TOWARD EXPANDING AND EQUIPPING THE STEAM LAB,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,ST BERNARD HIGH SCHOOL,,PLAYA DEL REY,CA,250000,,,TOWARD PHASE 1 OF CAMPUS RENOVATIONS,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,VISION TO LEARN,,LOS ANGELES,CA,250000,,,TOWARD PHASE II EHR UPGRADES,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,ACTORS GANG INC,,CULVER CITY,CA,245600,,,FOR EQUIPMENT UPGRADES AND SOUNDPROOFING,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,MYCHALS LEARNING PLACE,,HAWTHORNE,CA,215000,,,"FOR RENOVATING, EQUIPPING, AND FURNISHING MYCHAL'S CAF",https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,THE WENDE MUSEUM OF THE COLD WAR,,CULVER CITY,CA,200000,,,TOWARD CONSTRUCTION OF THE CREATIVE COMMUNITY CENTER,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
The Ahmanson Foundation,2024,990-PF-XV,A PLACE CALLED HOME,,LOS ANGELES,CA,150000,,,FOR REPLACEMENT OF THE ATHLETIC FIELD SHADE SAIL SYSTEM,https://projects.propublica.org/nonprofits/full_text/202532549349101503/IRS990PF
