funder,tax_year,schedule,recipient,recipient_ein,city,state,amount,amount_noncash,noncash_desc,purpose,source
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,IRANIAN AMERICAN JEWISH FEDERATION,95-3618582,WEST HOLLYWOOD,CA,60000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,VISTA DEL MAR CHILD & FAMILY SERVICE,95-1647832,LOS ANGELES,CA,60000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,NEFESH LA,83-4612468,LOS ANGELES,CA,56000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,JEWISH FUNDERS NETWORK,23-2742482,NEW YORK,NY,55000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,JEWISH GRADUATE STUDENT INITIATIVE,80-0716359,LOS ANGELES,CA,52000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,TEMPLE AKIBA OF CULVER CITY,95-1932032,CULVER CITY,CA,51815,0,,CAMPERSHIPS SCHOLARSHIPS/STIPENDS STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,CHEDER MENACHEM MENDEL,95-4434095,LOS ANGELES,CA,51441,0,,STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,MOISHE HOUSE,26-2599786,ENCINITAS,CA,50250,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,HILLEL AT THE CLAREMONT COLLEGES,46-3473130,CLAREMONT,CA,50000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,HILLEL THE FOUNDATION FOR JEWISH CAMPUS LIFE,52-1844823,WASHINGTON,DC,50000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,TEMPLE BETH HILLEL,20-0725891,PASADENA,CA,50000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,OUR BIG KITCHEN LOS ANGELES,84-4370166,BEVERLY HILLS,CA,50000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,YESHIVA KETANA OF LOS ANGELES,45-4665043,VALLEY VILLAGE,CA,46750,0,,GRANT EXPENSE STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,TASHBAR SEPHARDIC YESHIVA KETANA,47-4032122,LOS ANGELES,CA,46062,0,,STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,TRYBAL GATHERINGS INC,82-2536308,BROOKLINE,MA,45750,0,,SCHOLARSHIPS/STIPENDS GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,REPAIR THE WORLD,36-4524686,NEW YORK,NY,45500,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
