funder,tax_year,schedule,recipient,recipient_ein,city,state,amount,amount_noncash,noncash_desc,purpose,source
Petco Love,2025,990-SchI,HAWAIIAN HUMANE SOCIETY,99-0073490,HONOLULU,HI,85000,3577,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,ANIMAL BALANCE,68-0630714,SAN FRANCISCO,CA,83475,17360,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,ADOPT AN ANGEL,20-0576752,WILMINGTON,NC,82500,12,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,KANSAS CITY PET PROJECT,45-3067615,KANSAS CITY,MO,80000,1324,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,FOOTHILLS ANIMAL SHELTER,84-1311450,GOLDEN,CO,78000,1604,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,DALLAS ANIMAL SERVICES,75-6000508,DALLAS,TX,76500,0,N/A,GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,BURLINGTON ANIMAL SERVICES,56-6001189,BURLINGTON,NC,75900,2094,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,FRIENDSHIP ANIMAL PROTECTIVE LEAGUE,34-6529498,ELYRIA,OH,73000,46,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,ASPCA,13-1623829,NEW YORK,NY,72800,22067,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,BEST FRIENDS ANIMAL SOCIETY,23-7147797,KANAB,UT,72750,0,N/A,GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,ROCKY MOUNTAIN PUPPY RESCUE,27-2214963,BERTHOUD,CO,71950,4900,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,SPAY-NEUTER ASSISTANCE PROGRAM (SNAP),76-0608925,HOUSTON,TX,71733,57481,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,WISCONSIN HUMANE SOCIETY,39-0810533,MILWAUKEE,WI,71500,495,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,ANIMAL CARE CENTERS OF NYC,13-3788986,NEW YORK,NY,71500,0,N/A,GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,CITY OF SACRAMENTO FRONT STREET SHELTER,94-6000410,SACRAMENTO,CA,71300,22842,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
